timestep,ep_rew_mean
256,-110.42493783333332
512,-187.39215283333337
768,-219.25959410526315
1024,-239.95353371999997
1280,-262.15392340625
1536,-277.02960573684214
1792,-306.6028272272727
2048,-322.0946783921569
2304,-330.39119071929827
2560,-338.15314056249997
2816,-328.54152074285713
3072,-337.09732178947365
3328,-330.92912748192776
3584,-338.56847122471913
3840,-343.59059420833336
4096,-342.89464553
4352,-355.1538693
4608,-361.59491462000005
4864,-359.3667720000001
5120,-359.29798307
5376,-356.06801777
5632,-358.06429323
5888,-353.8704511799999
6144,-348.43123466
6400,-345.41336019999994
6656,-348.13648267
6912,-356.61743176
7168,-349.5149869499999
7424,-348.9071190200001
7680,-343.396491
7936,-340.43041192
8192,-336.3171424000001
8448,-336.3756690299999
8704,-342.47725502000003
8960,-334.21702855999996
9216,-342.0789262
9472,-339.13385642000003
9728,-335.4196473
9984,-334.79441225000005
10240,-343.77578621
10496,-342.85590148000006
10752,-332.6958786
11008,-340.0752034799999
11264,-350.24145260999995
11520,-353.0468653700001
11776,-350.70708456
12032,-360.51287215
12288,-369.8553678
12544,-373.56307505999996
12800,-375.1536681199999
13056,-374.06532895
13312,-372.20520272
13568,-370.91911940000006
13824,-366.35931439000007
14080,-361.65485
14336,-361.44854762999995
14592,-357.76910817000004
14848,-355.76677261
15104,-350.7903838799999
15360,-350.71447496
15616,-350.82989758
15872,-353.51152743
16128,-344.3769743600001
16384,-344.37730729000003
16640,-345.15956452000006
16896,-339.2996896800001
17152,-346.92349743000005
17408,-347.41191950999996
17664,-349.36886694000003
17920,-344.87612987
18176,-345.73325040000003
18432,-344.1011702999999
18688,-351.83022444999995
18944,-351.18281992
19200,-350.86372646
19456,-347.09086697000004
19712,-345.5569235800001
19968,-334.94768263000003
20224,-338.4856639
20480,-334.58765803
20736,-341.12166892999994
20992,-327.88971647
21248,-326.3510759
21504,-320.24824328
21760,-325.46109796999997
22016,-326.04166811999994
22272,-311.04750728
22528,-306.90574197999996
22784,-299.67745838
23040,-292.70412312999997
23296,-289.95271751
23552,-280.96774928
23808,-285.12229752999997
24064,-290.50837775
24320,-285.09483731999995
24576,-287.08484957999997
24832,-284.28227549
25088,-290.83431713000004
25344,-292.75279419
25600,-301.30730901
25856,-300.57882372999995
26112,-298.2298232
