run,trial,step,rtt_ms,throughput_mbps,reward
ppo_agent,0,0,48.488,5.74,3.3366545536763947
ppo_agent,0,1,46.091,6.7,4.029145061851207
ppo_agent,0,2,40.325,6.35,3.5322629754739987
ppo_agent,0,3,40.222,5.48,2.7920657321384974
ppo_agent,0,4,40.693,7.51,5.273004861470142
ppo_agent,0,5,40.368,9.29,7.424942090984177
ppo_agent,0,6,40.707,5.76,3.8659413739739747
ppo_agent,0,7,40.705,7.58,5.868424834054293
ppo_agent,0,8,40.667,9.53,7.99696577844885
ppo_agent,0,9,47.717,9.56,8.105731192435927
ppo_agent,0,10,54.113,9.65,8.245870707654902
ppo_agent,0,11,59.817,9.56,8.188509961529709
ppo_agent,0,12,64.35,9.56,8.216740977189067
ppo_agent,0,13,69.711,9.57,8.233273479210812
ppo_agent,0,14,74.329,9.56,8.227717206046744
ppo_agent,0,15,78.559,9.42,8.088521320052783
ppo_agent,0,16,82.341,9.56,8.22784634728121
ppo_agent,0,17,86.318,9.43,8.090558948826269
ppo_agent,0,18,89.875,9.43,8.083760443617958
ppo_agent,0,19,93.853,9.45,8.08919483440537
ppo_agent,0,20,103.739,9.57,8.133408113886972
ppo_agent,0,21,125.578,9.57,7.935969074510795
ppo_agent,0,22,151.922,9.56,7.681633423099882
ppo_agent,0,23,182.097,9.57,7.407295392022995
ppo_agent,0,24,215.255,9.56,7.081584790340509
ppo_agent,0,25,253.238,9.56,6.716427122151516
ppo_agent,0,26,294.659,9.56,6.315708341972032
ppo_agent,0,27,340.641,9.56,5.868410933494314
ppo_agent,0,28,390.471,9.56,5.381598923676968
ppo_agent,0,29,443.492,9.56,4.862138715852159
ppo_agent,0,30,501.123,9.55,4.2859458083576
ppo_agent,0,31,564.329,9.55,3.644283720913327
ppo_agent,0,32,401.352,7.02,2.752369470610569
ppo_agent,0,33,418.896,9.56,5.125198087023379
ppo_agent,0,34,445.187,9.59,4.900034797305153
ppo_agent,0,35,469.913,9.56,4.629954963679936
ppo_agent,0,36,492.054,9.56,4.415260102070482
ppo_agent,0,37,511.006,9.56,4.232075376240516
ppo_agent,0,38,527.562,9.56,4.072449865478505
ppo_agent,0,39,540.324,9.56,3.950462512003625
ppo_agent,1,0,48.674,5.69,5.20326005935669
ppo_agent,1,1,47.041,6.69,4.715830655062109
ppo_agent,1,2,45.993,7.62,5.346010928337807
ppo_agent,1,3,40.412,7.28,4.848853195293529
ppo_agent,1,4,40.244,8.69,6.752050948335205
ppo_agent,1,5,47.142,9.55,7.8773790066235065
ppo_agent,1,6,52.162,9.55,8.041538097983914
ppo_agent,1,7,59.322,9.56,8.128791606839142
ppo_agent,1,8,64.007,9.57,8.201553329213075
ppo_agent,1,9,68.968,9.56,8.226025094409918
ppo_agent,1,10,74.178,9.56,8.240603077058758
ppo_agent,1,11,78.686,9.57,8.259579515307362
ppo_agent,1,12,82.305,9.57,8.268385384693698
ppo_agent,1,13,86.332,9.56,8.25590906243022
ppo_agent,1,14,90.038,9.56,8.251040215614013
ppo_agent,1,15,93.841,9.56,8.241000471069743
ppo_agent,1,16,96.818,9.55,8.225419826399936
ppo_agent,1,17,101.327,9.56,8.211862239159016
ppo_agent,1,18,118.699,9.57,8.067552306599422
ppo_agent,1,19,142.294,9.57,7.849108048479873
ppo_agent,1,20,168.859,9.56,7.5892235354603494
ppo_agent,1,21,200.424,9.56,7.28787341893551
ppo_agent,1,22,235.013,9.57,6.9650385155944115
ppo_agent,1,23,273.712,9.57,6.5899646589147896
ppo_agent,1,24,316.627,9.56,6.161801402870181
ppo_agent,1,25,363.126,9.56,5.70688788070721
ppo_agent,1,26,414.05,9.56,5.207054759620976
ppo_agent,1,27,484.562,9.16,4.11010702616469
ppo_agent,1,28,559.485,8.94,3.148910969713138
ppo_agent,1,29,587.048,9.56,3.5008859273347888
ppo_agent,1,30,656.893,9.56,2.809582162638973
ppo_agent,1,31,731.189,9.56,2.0732977200089318
ppo_agent,1,32,804.213,9.55,1.3082692653785433
ppo_agent,1,33,785.255,9.55,1.4470153592980424
ppo_agent,1,34,602.415,7.07,0.8005686580636908
ppo_agent,1,35,427.107,6.68,2.1703138550064107
ppo_agent,1,36,432.308,9.56,5.005036222485529
ppo_agent,1,37,448.854,9.56,4.845938862042641
ppo_agent,1,38,463.847,9.59,4.7320448753488105
ppo_agent,1,39,477.081,9.56,4.575362970619991
ppo_agent,2,0,48.703,5.73,5.242970027923584
ppo_agent,2,1,47.055,6.7,4.7256904077171376
ppo_agent,2,2,46.197,7.39,5.1139709236075825
ppo_agent,2,3,41.089,7.55,5.14409771488789
ppo_agent,2,4,0.0,9.43,7.9271825218320116
ppo_agent,2,5,47.262,9.57,7.914530990510341
ppo_agent,2,6,54.387,9.55,8.031312958587968
ppo_agent,2,7,59.458,9.55,8.125831526615526
ppo_agent,2,8,64.746,9.56,8.190084046048618
